_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS,_name_norm_old,cod.__Fantacalcio,ruolo__Fantacalcio,nome,voto__Fantacalcio,gf__Fantacalcio,gs__Fantacalcio,rp__Fantacalcio,rs__Fantacalcio,rf__Fantacalcio,au__Fantacalcio,amm__Fantacalcio,esp__Fantacalcio,ass__Fantacalcio,cod.__Statistico,ruolo__Statistico,voto__Statistico,gf__Statistico,gs__Statistico,rp__Statistico,rs__Statistico,rf__Statistico,au__Statistico,amm__Statistico,esp__Statistico,ass__Statistico,cod.__Italia,ruolo__Italia,voto__Italia,gf__Italia,gs__Italia,rp__Italia,rs__Italia,rf__Italia,au__Italia,amm__Italia,esp__Italia,ass__Italia,matched_norm,match_score
120.0,,,120,LEALI N.,P,P,GENOA,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,leali n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,,,123,MAIGNAN M.,P,P,MILAN,,6.04,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,maignan m,4312.0,P,Maignan,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4312.0,P,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4312.0,P,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,maignan m,87.0
127.0,VK,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.0,PP,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,,,129,MERET A.,P,P,NAPOLI,,5.53,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.75,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,6.0,5.5,meret a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.0,JP,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.0,JP,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.0,,,142,PROVEDEL I.,P,P,LAZIO,,5.04,0.0,2.0,0.0,0.0,5.5,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,5.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.5,4.0,provedel i,2814.0,P,Provedel,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,P,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,P,5.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,provedel i,88.0
143.0,JK,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.0,TE,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
