cod.__Fantacalcio,ruolo__Fantacalcio,nome,voto__Fantacalcio,gf__Fantacalcio,gs__Fantacalcio,rp__Fantacalcio,rs__Fantacalcio,rf__Fantacalcio,au__Fantacalcio,amm__Fantacalcio,esp__Fantacalcio,ass__Fantacalcio,cod.__Statistico,ruolo__Statistico,voto__Statistico,gf__Statistico,gs__Statistico,rp__Statistico,rs__Statistico,rf__Statistico,au__Statistico,amm__Statistico,esp__Statistico,ass__Statistico,cod.__Italia,ruolo__Italia,voto__Italia,gf__Italia,gs__Italia,rp__Italia,rs__Italia,rf__Italia,au__Italia,amm__Italia,esp__Italia,ass__Italia,_name_norm_new,matched_norm,match_score
4904,D,Marì,5,0,0,0,0,0,0,1,0,0,4904,D,5,0,0,0,0,0,0,1,0,0,4904,D,5,0,0,0,0,0,0,1,0,0,mari,mari p,80
572,P,Meret,6,0,0,0,0,0,0,0,0,0,572,P,6,0,0,0,0,0,0,0,0,0,572,P,6,0,0,0,0,0,0,0,0,0,meret,meret a,83
4210,D,Mina,5.5,0,0,0,0,0,0,0,0,0,4210,D,6,0,0,0,0,0,0,0,0,0,4210,D,6,0,0,0,0,0,0,0,0,0,mina,mina y,80
5455,A,Moreo,6.5,0,0,0,0,0,0,0,0,0,5455,A,6.5,0,0,0,0,0,0,0,0,0,5455,A,6.5,0,0,0,0,0,0,0,0,0,moreo,moreo s,83
4317,D,N'Dicka,6.5,0,0,0,0,0,0,0,0,0,4317,D,6,0,0,0,0,0,0,0,0,0,4317,D,6.5,0,0,0,0,0,0,0,0,0,n dicka,n dri k,71
7001,A,N'Dri,6*,0,0,0,0,0,0,0,0,0,7001,A,6*,0,0,0,0,0,0,0,0,0,7001,A,6*,0,0,0,0,0,0,0,0,0,n dri,n dri k,83
6294,C,Ndour,5.5,0,0,0,0,0,0,0,0,0,6294,C,5,0,0,0,0,0,0,0,0,0,6294,C,5,0,0,0,0,0,0,0,0,0,ndour,ndour c,83
6831,C,Neres,6,0,0,0,0,0,0,0,0,0,6831,C,6,0,0,0,0,0,0,0,0,0,6831,C,6,0,0,0,0,0,0,0,0,0,neres,neres d,83
5336,A,Nzola,6,0,0,0,0,0,0,0,0,0,5336,A,6,0,0,0,0,0,0,0,0,0,5336,A,6,0,0,0,0,0,0,0,0,0,nzola,nzola m,83
5701,D,Obert,6,0,0,0,0,0,0,1,0,0,5701,D,6,0,0,0,0,0,0,1,0,0,5701,D,6,0,0,0,0,0,0,1,0,0,obert,obert a,83
676,ALL,Pioli,6,0,0,0,0,0,0,0,0,0,676,ALL,6,0,0,0,0,0,0,0,0,0,676,ALL,6,0,0,0,0,0,0,0,0,0,pioli,pioli s,83
6424,C,Prati,6,0,0,0,0,0,0,0,0,0,6424,C,5.5,0,0,0,0,0,0,0,0,0,6424,C,6,0,0,0,0,0,0,0,0,0,prati,prati m,83
6869,D,Ramon,7,0,0,0,0,0,0,0,0,0,6869,D,7,0,0,0,0,0,0,0,0,0,6869,D,7,0,0,0,0,0,0,0,0,0,ramon,ramon j,83
688,ALL,Sarri,5,0,0,0,0,0,0,0,0,0,688,ALL,5,0,0,0,0,0,0,0,0,0,688,ALL,5,0,0,0,0,0,0,0,0,0,sarri,sarri m,83
4284,C,Sergi Roberto,6*,0,0,0,0,0,0,0,0,0,4284,C,6,0,0,0,0,0,0,0,0,0,4284,C,6,0,0,0,0,0,0,0,0,0,sergi roberto,roberto s,81
5319,C,Sohm,5.5,0,0,0,0,0,0,0,0,0,5319,C,6,0,0,0,0,0,0,0,0,0,5319,C,5.5,0,0,0,0,0,0,0,0,0,sohm,sohm s,80
5734,A,Soulè,5,0,0,0,0,0,0,0,0,0,5734,A,5,0,0,0,0,0,0,0,0,0,5734,A,5.5,0,0,0,0,0,0,0,0,0,soule,soule m,83
6989,D,Tiago Gabriel,6.5,0,0,0,0,0,0,0,0,0,6989,D,7,0,0,0,0,0,0,0,0,0,6989,D,6.5,0,0,0,0,0,0,0,0,0,tiago gabriel,gabriel t,81
2729,ALL,Tudor,7,0,0,0,0,0,0,1,0,0,2729,ALL,7,0,0,0,0,0,0,1,0,0,2729,ALL,7,0,0,0,0,0,0,1,0,0,tudor,tudor i,83
6867,D,Valle,6.5,0,0,0,0,0,0,0,0,0,6867,D,6.5,0,0,0,0,0,0,0,0,0,6867,D,6.5,0,0,0,0,0,0,0,0,0,valle,valle a,83
5718,D,Viti,6,0,0,0,0,0,0,0,0,0,5718,D,6,0,0,0,0,0,0,0,0,0,5718,D,6,0,0,0,0,0,0,0,0,0,viti,viti m,80
7068,D,Vitik,6,0,0,0,0,0,0,0,0,0,7068,D,5.5,0,0,0,0,0,0,0,0,0,7068,D,5.5,0,0,0,0,0,0,0,0,0,vitik,vitik m,83
4220,C,Zambo Anguissa,7,0,0,0,0,0,0,0,0,0,4220,C,6.5,0,0,0,0,0,0,0,0,0,4220,C,6.5,0,0,0,0,0,0,0,0,0,zambo anguissa,anguissa a,66
4461,D,Zappa,6,0,0,0,0,0,0,0,0,0,4461,D,6,0,0,0,0,0,0,0,0,0,4461,D,6,0,0,0,0,0,0,0,0,0,zappa,zappa g,83
